ER25001,ER25002,ER25003,ER25004,ER27442,ER27451,ER27708,ER28037,ER36001,ER36002,ER36003,ER36004,ER40614,ER40622,ER41027,ER42001,ER42002,ER42003,ER42004,ER46592,ER46600,ER46935,ER47301,ER47302,ER47303,ER47304,ER51953,ER51961,ER52046,ER52343,ER53001,ER53002,ER53003,ER53004,ER57709,ER57730,ER58152,ER60001,ER60002,ER60003,ER60004,ER64869,ER64910,ER65349,ER66001,ER66002,ER66003,ER66004,ER70941,ER71042,ER71064,ER71426,ER72001,ER72002,ER72003,ER72004,ER76960,ER77064,ER77086,ER77448,ER78001,ER78002,ER78003,ER78004,ER81188,ER81340,ER81422,ER81775
7,1858,50,2,8,0,0,166704,8,792,50,2,8,0,142843,6,121,50,2,8,0,88166,6,3817,50,2,8,0,0,103127,4,1596,50,2,8,0,65974,2,276,50,2,8,0,81276,3,3838,50,2,8,0,0,73814,1,1634,50,2,1,0,0,79912,,,,,,,,
7,1019,50,2,0,0,2,51266,8,1020,50,2,0,0,115890,6,2794,50,2,0,0,143957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,735,50,2,0,0,0,115370,8,2233,50,2,0,0,122360,6,1613,50,2,0,0,129126,6,4256,50,2,0,0,0,142123,4,4715,50,2,0,0,154906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2491,50,2,1,0,0,224468,2,5278,50,2,1,0,0,268698
7,6674,4,6,8,0,0,0,8,7369,4,6,8,0,0,6,3808,4,6,8,0,9936,6,1895,4,6,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,736,4,6,0,500,0,111737,8,3621,4,6,0,0,79461,6,5994,4,6,0,0,100489,6,1685,4,6,0,0,0,95632,4,2065,4,6,0,0,94521,2,3257,4,6,0,0,37366,3,1223,4,6,0,0,0,47520,1,1536,4,6,1,0,0,49970,2,5387,4,6,1,0,0,48516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6491,4,6,0,0,58980,2,4735,4,6,0,0,63800,3,2521,4,6,0,0,0,63600,1,2738,4,6,99,0,0,59200,2,8564,4,6,99,0,0,88800
,,,,,,,,,,,,,,,6,713,4,6,0,0,23500,6,1780,2,4,0,0,0,83650,4,1284,4,6,0,0,8100,2,7731,4,6,0,0,33014,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2400,32,37,0,0,0,120300,1,1484,32,37,2,0,0,80000,2,2593,32,37,2,0,0,132000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1723,4,6,0,0,0,27020,1,1937,12,17,1,0,0,7050,2,2723,12,17,1,0,0,305
